Month,car: (Canada)
Jan-04,83
Feb-04,82
Mar-04,87
Apr-04,91
May-04,96
Jun-04,97
Jul-04,100
Aug-04,95
Sep-04,89
Oct-04,82
Nov-04,79
Dec-04,76
Jan-05,81
Feb-05,81
Mar-05,84
Apr-05,90
May-05,87
Jun-05,96
Jul-05,99
Aug-05,95
Sep-05,80
Oct-05,74
Nov-05,70
Dec-05,65
Jan-06,70
Feb-06,70
Mar-06,75
Apr-06,81
May-06,82
Jun-06,84
Jul-06,90
Aug-06,86
Sep-06,73
Oct-06,69
Nov-06,66
Dec-06,66
Jan-07,70
Feb-07,68
Mar-07,72
Apr-07,76
May-07,80
Jun-07,86
Jul-07,89
Aug-07,84
Sep-07,75
Oct-07,73
Nov-07,69
Dec-07,65
Jan-08,70
Feb-08,70
Mar-08,74
Apr-08,78
May-08,79
Jun-08,83
Jul-08,86
Aug-08,79
Sep-08,68
Oct-08,65
Nov-08,64
Dec-08,64
Jan-09,66
Feb-09,65
Mar-09,70
Apr-09,75
May-09,74
Jun-09,79
Jul-09,84
Aug-09,84
Sep-09,72
Oct-09,68
Nov-09,68
Dec-09,64
Jan-10,67
Feb-10,69
Mar-10,74
Apr-10,73
May-10,75
Jun-10,78
Jul-10,80
Aug-10,79
Sep-10,69
Oct-10,66
Nov-10,65
Dec-10,64
Jan-11,64
Feb-11,63
Mar-11,66
Apr-11,68
May-11,69
Jun-11,74
Jul-11,77
Aug-11,73
Sep-11,66
Oct-11,66
Nov-11,61
Dec-11,59
Jan-12,61
Feb-12,62
Mar-12,66
Apr-12,67
May-12,73
Jun-12,73
Jul-12,77
Aug-12,75
Sep-12,68
Oct-12,64
Nov-12,62
Dec-12,61
Jan-13,65
Feb-13,63
Mar-13,68
Apr-13,68
May-13,71
Jun-13,74
Jul-13,79
Aug-13,75
Sep-13,67
Oct-13,68
Nov-13,66
Dec-13,69
Jan-14,71
Feb-14,68
Mar-14,71
Apr-14,75
May-14,78
Jun-14,80
Jul-14,85
Aug-14,85
Sep-14,72
Oct-14,71
Nov-14,69
Dec-14,65
Jan-15,70
Feb-15,71
Mar-15,76
Apr-15,80
May-15,81
Jun-15,83
Jul-15,87
Aug-15,86
Sep-15,78
Oct-15,72
Nov-15,70
Dec-15,69
Jan-16,73
Feb-16,72
Mar-16,75
Apr-16,78
May-16,79
Jun-16,83
Jul-16,87
Aug-16,85
Sep-16,78
Oct-16,74
Nov-16,71
Dec-16,76
Jan-17,75
Feb-17,73
Mar-17,76
Apr-17,79
May-17,83
Jun-17,88
Jul-17,93
Aug-17,92
Sep-17,82
Oct-17,78
Nov-17,75
Dec-17,76
Jan-18,79
Feb-18,78
Mar-18,82
Apr-18,83
May-18,88
Jun-18,90
Jul-18,96
Aug-18,94
Sep-18,84
Oct-18,78
Nov-18,77
Dec-18,75
Jan-19,82
Feb-19,83
Mar-19,88
Apr-19,87
May-19,89
Jun-19,93
Jul-19,98
Aug-19,97
Sep-19,89
Oct-19,84
Nov-19,84
Dec-19,86
Jan-20,86
Feb-20,87
Mar-20,69
Apr-20,64
May-20,78
